9
344	465	470	470	470	0	0	0	0	0	1059	1235	1190	1140	1100	2.73	2.73	2.73	2.73	2.73	737	857	838	816	780	23305.44	23305.44	23305.44	23305.44	23305.44	1	1	1	1	1	50	58	100	100	100	1050	1101	1300	2200	3100
1156	1574	1910	2600	2600	0	0	0	0	0	3445	4452	4270	7730	8220	2.99	2.99	2.99	2.99	2.99	2388	2856	3103	4549	4471	23475.97	23475.97	23475.97	23475.97	23475.97	1	1	1	1	1	209	290	300	300	300	244	328	400	400	400
2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	25230.6	25230.6	25230.6	25230.6	25230.6	1	1	1	1	1	30	361	600	600	600	90	153	200	200	200
363	491	580	580	580	0	0	0	0	0	1130	1572	1510	1450	1390	2.62	2.62	2.62	2.62	2.62	750	897	956	934	891	24253.1	24253.1	24253.1	24253.1	24253.1	1	1	1	1	1	15	896	1150	1150	1150	132	19	50	50	50
163	757	760	760	760	0	0	0	0	0	539	2041	1960	1880	1810	1.21	1.21	1.21	1.21	1.21	339	1426	1399	1365	1315	23801.55	23801.55	23801.55	23801.55	23801.55	1	1	1	1	1	0	0	0	0	0	20	64	100	100	100
286	284	320	320	320	0	0	0	0	0	914	859	820	790	760	3.02	3.02	3.02	3.02	3.02	596	542	567	553	527	23328.09	23328.09	23328.09	23328.09	23328.09	1	1	1	1	1	291	91	100	100	100	45	285	350	350	350
1688	1811	1850	1850	2350	0	0	0	0	0	5231	5014	4810	5810	6380	3.31	3.31	3.31	3.31	3.31	3591	3233	3172	3341	3865	21960.87	21960.87	21960.87	21960.87	21960.87	1	1	1	1	1	741	180	200	200	200	832	863	1000	1000	1000
1696	1687	2400	2690	2690	0	0	0	0	0	5209	4697	8190	7860	7550	2.72	2.72	2.72	2.72	2.72	3635	3121	4624	4884	4660	20807.76	20807.76	20807.76	20807.76	20807.76	1	1	1	1	1	872	305	350	350	350	1088	1762	2060	2060	2060
1885	2542	2540	2540	2540	0	0	0	0	0	5343	6259	6010	5770	5540	4.53	4.53	4.53	4.53	4.53	3532	4332	4167	4058	3862	20822.85	20822.85	20822.85	20822.85	20822.85	1	1	1	1	1	151	327	400	400	400	1278	1596	1600	1600	1600
1277	1325	1350	1350	1350	0	0	0	0	0	3983	3642	3500	3360	3230	2.82	2.82	2.82	2.82	2.82	2861	2466	2431	2372	2304	21290.97	21290.97	21290.97	21290.97	21290.97	1	1	1	1	1	81	116	120	120	120	1167	957	1080	1080	1080
1036	1066	1120	1120	1120	0	0	0	0	0	3235	3009	2890	2770	2660	2.85	2.85	2.85	2.85	2.85	2206	1899	1905	1853	1780	19959.96	19959.96	19959.96	19959.96	19959.96	1	1	1	1	1	74	91	100	100	100	280	157	150	150	150
